population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
4731,2469,2262,,79.49,,838,617,,588,486,,123,144,,4670,61,3694,2902,224,1388,2538,1870405,83.6,87.23,1506,1150
5510,2923,2587,,74.23,,834,595,,633,507,,141,163,,5335,175,4192,3241,222,1838,2768,1870406,78.13,81.52,1950,1564
3726,1931,1795,,84.39,,572,495,,513,436,,138,173,,3586,140,2891,2243,196,1069,1976,1870407,86.86,89.2,706,633
3639,2264,1375,,92.18,,371,209,,885,276,,582,475,,3488,151,3061,2637,317,1746,2563,1870501,95.23,96.94,625,585
2552,1749,803,,95.21,,300,149,,867,178,,310,218,,2445,107,2150,1859,38,1437,1834,1870502,97.44,98.32,340,293
9906,6094,3810,2,90.91,100,1013,994,,2840,790,,734,429,,9205,701,7942,6279,267,4000,6011,1870503,94.9,97.16,1276,1110
25266,12998,12266,2,80.87,100,3028,2745,1,3397,2823,1,1748,1581,,24819,447,19405,15269,1411,6134,13904,1870504,84.35,87.66,4885,4138
16932,8677,8251,4,89.91,100,1517,1467,1,2504,2203,3,2384,2093,,16779,153,13641,11210,1312,4953,10642,1870505,92.13,94.21,3700,3400
14348,7617,6731,,63.56,,1956,1497,,1431,1141,,337,331,,13851,497,10827,8400,728,2705,7075,1870506,67.17,70.36,3214,2452
15290,7949,7340,1,72,100,1562,1254,,1219,1118,,1259,1170,1,14721,569,11482,9103,983,5130,8062,1870601,74.16,76.13,2831,2281
7145,3648,3496,1,64.51,100,929,846,1,517,413,,115,103,,6574,571,5178,3837,348,1896,2979,1870602,67.88,71.08,1510,1070
11860,6257,5601,2,64.9,100,1438,1070,1,875,732,,230,223,,8974,2886,8817,6764,565,3610,5615,1870603,68.65,71.94,2609,1899
11560,6160,5400,,70.23,,1447,1082,,1014,838,,699,665,,9944,1616,8836,6941,704,3906,5950,1870604,72.07,73.66,2510,1636
8035,4301,3734,,57.59,,934,696,,599,482,,212,188,,7269,766,5921,4514,323,2520,3556,1870605,61.16,64.23,2054,1354
11932,6141,5789,2,42.81,,1282,1005,,480,415,,65,57,,7243,4689,8543,6299,466,3771,4657,1870606,45.67,48.37,2322,1493
14529,7724,6803,2,73.86,50,1663,1189,1,1596,1357,,1024,948,,13584,945,11190,8815,795,4137,7923,1870701,76.85,79.46,3015,2408
11886,6187,5699,,56.47,,1464,1121,,755,573,,121,134,,11336,550,8593,6358,413,3396,4853,1870702,61.15,65.42,1214,847
14032,7325,6697,10,57.53,,1676,1386,,1026,838,,145,117,,13452,580,10204,7626,518,4119,6282,1870703,60.59,63.49,3359,2333
17926,9368,8558,,52.11,,2420,1780,,909,672,,157,142,,15707,2219,13025,9495,652,4797,7034,1870704,56.64,60.7,4082,2589
12033,6408,5625,,59.54,,1608,1234,,814,655,,153,106,,11097,936,8716,6396,501,3570,5076,1870705,63.35,66.64,2097,1434
4589,2425,2164,,60.71,,655,553,,322,188,,52,49,,4318,271,3350,2482,263,1248,1936,1860101,65.37,69.5,1263,831
12192,6263,5929,,66.74,,1690,1447,,949,832,,181,183,,11842,350,8826,6619,555,3382,5073,1860102,70.87,74.78,3505,2459
1757,895,862,,54.14,,292,194,,86,43,,9,8,,1735,22,1178,807,70,256,576,1860103,65.62,76.27,442,254
2041,1065,976,,56,,262,234,,106,64,,10,7,,2041,,1440,1050,99,483,629,1860104,60.83,65.41,524,292
3482,1754,1728,,63.02,,566,439,,231,122,,60,28,,3473,9,2419,1685,175,430,1209,1860105,71.43,79.33,967,569
15328,7947,7380,1,59.65,100,2135,1688,1,900,800,,159,153,,14889,439,10862,7941,761,3790,6125,1860106,64.54,69.1,4117,2895
6315,3276,3038,1,60.21,100,964,768,1,384,305,,53,38,,6315,,4515,3292,312,1201,2263,1860107,65.2,69.77,1697,1054
3092,1585,1507,,50.29,,410,340,,119,84,,14,13,,2948,144,2134,1577,162,859,962,1860108,55.25,59.91,852,492
2637,1387,1250,,59.67,,460,391,,154,72,,21,15,,2629,8,1860,1361,141,624,939,1860109,66.94,73.75,756,450
8483,4422,4060,1,61.37,100,1208,938,,625,452,,101,102,,8343,140,6208,4662,548,2104,3659,1860110,67.48,73.12,2958,2099
2489,1335,1154,,57.07,,422,254,,155,39,,20,12,,2488,1,1723,1182,125,174,876,1860111,69.65,80.7,736,390
2306,1192,1111,3,60.82,100,359,237,2,145,89,1,41,20,,2300,6,1555,1080,115,534,800,1860112,71.51,81.03,684,388
1949,1010,939,,56.16,,293,211,,129,85,,12,14,,1949,,1382,993,86,508,684,1860113,63.6,70.34,542,314
10463,5523,4940,,67.63,,1186,988,,844,653,,554,513,,10414,49,7904,6067,571,3082,5072,1860201,69.4,70.92,2302,1655
1430,742,688,,63.13,,226,188,,62,61,,16,17,,1337,93,1029,761,69,257,545,1860202,65.99,68.68,474,273
10797,5525,5272,,86.57,,1002,810,,1232,1176,,1455,1374,,10630,167,8473,6822,885,3301,6358,1860203,88.3,89.96,908,661
8378,4317,4061,,58.77,,1059,937,,518,489,,102,127,,7593,785,6146,4566,401,1086,3516,1860204,60.14,61.43,2481,1804
4856,2765,2091,,72.67,,628,333,,429,321,,504,462,,4812,44,3887,3191,307,1885,2782,1860205,72.76,72.82,376,244
5487,2883,2604,,57.86,,759,573,,364,245,,45,37,,4936,551,3984,3012,284,452,2220,1860206,62.98,67.45,1408,890
3739,1965,1773,1,54.25,100,530,395,1,190,204,,35,30,,2937,802,2712,1980,163,1077,1510,1860207,56.34,58.18,792,578
4450,2300,2150,,56.74,,577,523,,222,169,,23,28,,4048,402,3120,2322,223,1261,1734,1860208,59.58,62.24,1313,878
9586,5067,4518,1,69.51,100,1182,919,1,926,725,,536,469,,9565,21,6942,5326,499,2557,4492,1860209,73.48,77.03,1963,1423
17042,10399,6642,1,63.36,,1916,1526,,3985,788,,309,231,,13602,3440,13141,10675,543,3674,9293,1860210,74.66,81.1,3163,2302
6051,3159,2892,,53.06,,748,611,,314,245,,65,29,,5720,331,4228,2965,246,548,2002,1860301,57.59,61.75,1502,829
25427,13279,12142,6,65.27,50,4047,2994,1,1640,1325,2,278,252,,24296,1131,18204,13175,1075,3972,10574,1860302,70.16,74.58,5901,3689
14460,7527,6932,1,79.02,100,1540,1178,,1036,1117,,1380,1253,1,14215,245,11002,8655,853,4326,7217,1860303,78.39,77.81,2450,1710
11712,6079,5633,,62.16,,1621,1306,,710,491,,178,142,,11517,195,8324,6009,550,3082,4270,1860304,67.82,72.96,2825,1656
25875,13665,12209,1,64.62,,3043,2141,,1958,1741,,1548,1357,,20333,5542,19727,15441,1435,7379,12745,1860305,68.35,71.67,4970,3207
4528,2399,2129,,49.69,,575,425,,202,157,,43,21,,4376,152,3155,2221,177,537,1405,1860306,55.06,59.74,1020,536
15036,8045,6989,2,72.29,100,1839,1401,,1355,909,1,842,729,1,12377,2659,11299,8830,777,4016,7026,1860307,75.2,77.66,2359,1471
4772,2432,2340,,63.12,,702,547,,371,277,,67,55,,4772,,3430,2568,280,741,1988,1860308,69.04,74.74,1482,978
3912,2065,1847,,62.53,,632,480,,249,188,,76,59,,3230,682,2821,2122,167,836,1633,1860309,68.38,73.53,1092,761
6594,3458,3136,,56.42,,774,593,,308,224,,112,97,,6565,29,4498,3262,282,1007,2380,1860310,62.18,67.36,1485,912
4218,2190,2028,,55.41,,555,468,,233,163,,48,32,,3898,320,2922,2123,202,1076,1404,1860401,60.57,65.35,1139,660
5557,2919,2637,1,52.31,,746,567,,284,158,,49,21,,5313,244,3856,2746,236,1388,1964,1860402,57.99,62.87,1489,862
8325,4307,4016,2,54.6,,1232,841,,487,314,,92,60,,8099,226,5849,4114,327,1904,2950,1860403,64.34,73.36,1848,1048
7584,3972,3612,,56.92,,1128,838,,574,355,,116,76,,7274,310,5342,3723,360,1269,2434,1860404,64.21,70.8,2064,1001
1685,884,801,,54.93,,250,187,,134,90,,15,20,,1677,8,1239,891,109,460,527,1860405,62.23,68.82,489,235
14686,7584,7101,1,52.2,,1847,1534,,726,436,,97,75,,13915,771,10239,7229,643,3063,4961,1860406,57.49,62.32,3656,2004
8840,4622,4218,,54.87,,1219,908,,532,335,,89,46,,8550,290,6153,4340,460,2257,3070,1860407,62.2,68.97,2476,1353
7849,4119,3730,,57.45,,1189,860,,488,334,,133,90,,7816,33,5530,3837,278,1538,2921,1860408,65.26,72.34,1745,1094
8198,4218,3980,,53.17,,1153,866,,413,240,,61,46,,8095,103,5640,3917,375,1990,2818,1860409,60.18,66.76,2079,1252
3561,1862,1699,,59.8,,537,435,,234,112,,22,11,,3552,9,2476,1775,147,759,1244,1860410,68.38,76.18,832,469
8363,4364,3999,,60,,1237,977,,553,320,,75,47,,8323,40,5880,4145,372,1917,2983,1860411,67.91,75.15,2118,1211
12643,6399,6242,2,85.21,100,1763,1459,,1667,1700,,676,750,1,11647,996,9993,7996,833,2953,7079,1860501,87.16,89.08,2859,2379
1884,1000,884,,76.64,,230,154,,214,210,,163,172,,1733,151,1495,1210,169,613,1071,1860502,78.8,80.77,810,687
9018,4626,4392,,83.44,,1268,1120,,1159,1125,,416,464,,8808,210,7065,5676,616,2704,4892,1860503,84.22,84.95,4214,3543
9809,5272,4537,,79.95,,1446,929,,1170,1030,,718,766,,8195,1614,7872,6162,667,3383,5450,1860504,82.38,84.46,3527,3016
11465,5811,5654,,88.73,,1545,1258,,1614,1589,,760,881,,11062,403,9128,7329,798,3322,6487,1860601,89.86,90.95,4978,4222
17095,8779,8314,2,80.96,100,2221,1806,1,2197,2027,1,1104,1079,,16347,748,13523,10839,1200,4591,9562,1860602,83.15,85.2,6220,5334
16912,8726,8185,1,80.68,,2671,2055,,1947,1695,,1027,922,,13562,3350,13281,10603,1123,5395,9635,1860701,84.8,88.57,4213,4100
5610,2866,2744,,92.04,,860,729,,857,837,,309,367,,5610,,4500,3613,358,1643,3317,1860801,93.6,95.12,2886,2485
10679,5420,5259,,89.34,,1522,1343,,1470,1452,,520,619,,10666,13,8381,6669,724,2970,6000,1860802,89.87,90.39,4705,3838
14221,7261,6960,,86.3,,2312,1844,,1842,1904,,538,634,,14116,105,11147,8884,909,4177,7736,1860803,87.67,88.99,3945,3145
22285,11366,10916,3,86.22,33.33,3380,2817,,2718,2775,1,964,1084,,21626,659,17367,13904,1454,6388,12114,1860804,87.55,88.85,6356,5333
8565,4539,4026,,78.74,,1336,957,,1005,759,,487,485,,7193,1372,6699,5391,493,2752,4810,1860901,83.3,87.27,1906,1864
6709,3608,3099,2,71.65,100,954,679,2,676,620,,283,224,,6461,248,5159,4084,356,2402,3629,1861001,74.45,76.81,1948,1634
16329,8913,7413,3,84.77,66.67,2009,1508,,2626,1944,2,1247,1070,,15389,940,13176,10700,1133,4364,9742,1861002,87.25,89.26,4974,4357
3252,1822,1430,,81.01,,424,226,,421,290,,396,395,,3136,116,2764,2301,316,1386,2128,1861101,83.03,84.56,1214,1180
5367,2930,2437,,85.8,,707,409,,713,632,,640,591,,5206,161,4421,3649,511,2028,3433,1861102,86.04,86.23,2038,1941
22854,12159,10688,7,72.33,71.43,3068,2300,2,2976,2404,2,1074,903,,18088,4766,17776,14225,1268,4185,12384,1861201,76.18,79.51,6483,5330
16726,9310,7408,8,71.53,25,2392,1693,1,2125,1392,1,1087,637,,15183,1543,13143,10605,917,3580,9200,1861202,77.33,81.78,3338,2815
7498,4606,2892,,70.11,,719,588,,1939,477,,385,344,,5340,2158,6058,4971,392,1937,4638,1880101,79.3,84.63,1688,1286
7145,3640,3503,2,91.99,50,946,909,1,1110,887,,496,521,,7076,69,5681,4432,455,1543,4030,1880102,94.07,96.12,3129,2631
8657,4468,4188,1,86.43,,1287,1083,,1179,1030,,438,478,,7861,796,6751,5291,555,2598,4847,1880103,89.29,92,2355,1903
13914,7110,6797,7,79.8,71.43,1771,1536,2,1918,1650,1,730,693,1,12336,1578,10774,8579,912,3913,7490,1880104,83.82,87.72,3031,2499
9645,5014,4630,1,81.68,100,1263,970,,965,910,1,368,336,,3428,6217,7544,6039,569,2253,4994,1880105,83.78,85.7,2784,2094
11953,6146,5806,1,62.06,,1516,1307,,1067,877,,262,283,,4180,7773,9150,7125,580,3737,5731,1880106,65.34,68.49,3544,2587
13251,6962,6288,1,73.04,100,2004,1532,,1337,1160,1,412,451,,10524,2727,10442,8162,697,4454,6878,1880201,75.83,78.32,3305,2701
5502,2857,2645,,88.13,,432,262,,455,512,,1096,1069,,5402,100,4644,3973,822,1963,3793,1880202,88.2,88.26,1760,1780
8722,5534,3188,,84.21,,1021,648,,2672,734,,639,573,,7586,1136,7371,6300,491,3905,6060,1880203,89.64,92.41,1222,1035
15385,7977,7404,4,77.03,100,2123,1654,2,1871,1668,1,651,618,1,14813,572,11867,9370,900,4644,7952,1880301,81.03,84.72,2927,2298
7787,4082,3702,3,83.16,33.33,1030,805,1,1012,847,,602,531,,7266,521,6186,4956,514,1419,4421,1880302,86.39,89.31,2973,2634
7165,3672,3491,2,91.53,100,675,554,1,899,1020,,1080,964,1,6766,399,5916,4886,711,2330,4631,1880303,91.99,92.42,2474,2388
10958,5544,5413,1,86.91,100,1123,970,,1364,1442,1,1354,1158,,10468,490,8662,7066,857,1532,6583,1880304,89.1,91.24,2873,2658
8542,4350,4189,3,89,33.33,1022,891,,1179,1039,,670,672,1,7932,610,6699,5474,598,1547,4899,1880305,90.88,92.74,2372,2025
14166,7234,6932,,81.67,,1793,1498,,2039,1777,,765,786,,13920,246,10944,8804,932,3508,7646,1880401,85.11,88.41,4281,3443
3501,1749,1752,,91.64,,354,322,,494,477,,484,443,,3383,118,2884,2353,335,1002,2204,1880402,94.04,96.41,1650,1533
5387,2734,2651,2,83.08,,605,544,,663,613,,517,482,,5011,376,4243,3428,353,1600,3179,1880403,86.52,90.09,1146,1019
6756,3458,3298,,71.91,,983,830,,784,625,,170,195,,4504,2252,5120,4087,318,2193,3543,1880404,76.29,80.5,2573,2104
8249,4373,3875,1,70.2,,1176,954,,1037,737,,208,241,,3706,4543,6485,5166,452,2785,4384,1880405,73.99,77.32,2334,1839
4977,2567,2410,,92.52,,273,249,,669,549,,967,906,,4699,278,4124,3487,544,1476,3296,1880406,93.89,95.17,488,448
5213,2699,2514,,95.81,,252,212,,604,548,,1327,1216,,5148,65,4416,3865,857,1970,3807,1880407,96.83,97.77,2307,2267
10351,5170,5177,4,89.58,100,1041,1088,2,1380,1157,2,914,890,,10113,238,8155,6553,761,2554,6109,1880501,90.84,92.11,2616,2325
11671,5939,5732,,70.72,,1349,1143,,1053,1009,,522,482,,10944,727,8787,6872,721,3282,5878,1880502,74.1,77.38,3186,2459
12957,6665,6288,4,69.04,,1653,1361,,1441,1116,,370,377,,12658,299,9752,7535,664,3126,6170,1880503,73.09,76.92,3552,2511
7839,3966,3871,2,91.78,100,669,507,,800,949,2,1550,1485,,7654,185,6656,5633,1090,2755,5381,1880504,92.79,93.77,3368,3368
3306,1613,1693,,91.03,,184,169,,333,391,,715,646,,3268,38,2736,2312,475,1140,2225,1880505,92.21,93.43,748,710
5778,2971,2807,,89.53,,453,358,,565,632,,1131,1045,,5723,55,4832,4073,846,1980,3889,1880506,89.96,90.38,3064,3076
9757,5060,4693,4,80.58,50,1350,1096,1,1330,1153,1,578,553,,9358,399,7604,6083,631,1702,5564,1880601,83.9,87.04,3174,2640
16485,8700,7782,3,74.97,33.33,2319,1896,1,2139,1495,,601,554,,15483,1002,12529,9904,794,3779,8455,1880602,79.75,84.01,2953,2206
6883,3476,3406,1,86.11,,903,767,,986,851,,392,464,,6736,147,5376,4212,409,956,3783,1880603,88.67,91.21,1840,1572
11913,6146,5767,,68.38,,1672,1320,,1372,1179,,282,267,,10518,1395,9008,7072,594,3481,5926,1880604,73.2,77.74,1819,1370
7719,3967,3752,,75.14,,970,707,,937,837,,491,505,,7022,697,6003,4756,479,2455,4150,1880605,79.11,82.87,2172,1833
9606,4853,4752,1,87.92,100,851,734,,1244,1291,,1191,1132,1,9386,220,7803,6426,924,2608,5978,1880606,89.04,90.14,2894,2735
7272,3754,3518,,89.19,,483,414,,1062,924,,1310,1231,,7103,169,6090,5065,802,2102,4859,1880607,90.57,91.86,2463,2290
4579,2368,2211,,92.41,,385,309,,714,660,,628,581,,4485,94,3809,3219,583,1720,3059,1880608,93.15,93.83,1604,1495
3157,1639,1517,1,88.24,100,214,163,1,301,314,,670,629,,3063,94,2696,2325,471,1343,2218,1880609,87.95,87.66,1432,1410
8057,4221,3835,1,90.67,100,668,501,1,836,899,,1514,1393,,7915,142,6825,5730,1027,3116,5524,1880701,90.93,91.17,1178,1186
2088,1118,970,,92.81,,178,114,,193,203,,463,414,,2025,63,1766,1536,310,1043,1490,1880702,92.58,92.39,643,664
5112,2575,2537,,91.15,,340,302,,442,545,,1085,984,,5012,100,4286,3663,786,1653,3383,1880703,92.14,93.11,1979,1999
9102,4895,4206,1,81.76,100,937,545,,905,737,1,1374,1253,,8983,119,7472,6130,978,2850,5897,1880704,85.08,87.87,2373,2483
12298,6416,5873,9,43.73,33.33,1424,1030,,572,543,1,92,83,,12224,74,9115,6712,441,3379,5140,1880705,47.05,50.07,1616,1116
10366,5722,4638,6,50.19,16.67,1551,877,1,706,476,,108,82,,9055,1311,7752,5965,379,4071,4777,1880706,57.77,63.75,2675,1808
8055,4136,3916,3,86.06,33.33,1002,880,1,1195,1028,,517,505,,7824,231,6283,5107,515,2471,4536,1880801,89.5,92.83,2724,2231
7539,3865,3671,3,64.81,,1101,850,,718,629,,193,175,,7033,506,5654,4355,339,1438,3500,1880802,69.72,74.43,2134,1486
10484,5328,5148,8,84.2,50,1403,1143,3,1357,1235,1,618,620,,9967,517,8112,6462,654,3286,5793,1880803,87.13,90.01,2599,2264
20418,10582,9835,1,60.82,100,2806,2058,,1601,1501,,287,297,,12893,7525,15283,11780,933,6251,9405,1880804,64.65,68.19,5349,3845
4894,2532,2361,1,82.82,,678,556,,668,559,,353,302,,4703,191,3809,3042,296,1280,2680,1880805,86.79,90.46,1403,1099
15329,7889,7440,,71.72,,2232,1770,,1444,1284,,429,485,,11699,3630,11475,8939,724,4114,7495,1880806,76.22,80.48,3448,2621
11170,5740,5428,2,48.13,,1378,1056,,580,488,,69,64,,5084,6086,8302,6298,464,3814,4844,1880807,52.52,56.71,2397,1591
10864,5594,5266,4,79.89,50,1403,1147,1,1436,1309,1,400,388,,10805,59,8198,6517,611,2672,5612,1880901,83.4,86.71,2986,2294
5878,3032,2845,1,83.72,100,840,648,,788,668,,262,290,1,5808,70,4459,3574,382,958,3004,1880902,88.41,92.72,2012,1589
8930,4584,4342,4,74.76,75,1311,1120,,937,810,2,192,211,,8892,38,6705,5304,529,2667,4339,1880903,77.36,79.85,2244,1630
8759,4672,4083,4,68.6,25,1285,910,,950,812,,295,260,,8635,124,6650,5252,393,2032,4314,1880904,72.29,75.49,2519,1855
15227,7948,7275,4,67.75,50,2335,1799,2,1348,1120,,179,193,,14595,632,11303,8790,679,4221,6914,1880905,73.11,77.95,3731,2476
16085,8263,7818,4,69.82,75,2238,1980,2,1119,1094,,210,228,,14616,1469,12113,9464,866,4589,7783,1880906,72.2,74.44,3583,2654
13942,7133,6807,2,82.48,50,1890,1515,,1893,1642,1,479,494,,13686,256,10643,8443,847,4124,7969,1881001,86.03,89.37,4071,3271
16882,8607,8275,,80.51,,2378,2097,,2000,1793,,437,450,,15806,1076,12886,10151,1029,5037,8364,1881002,82.97,85.33,5123,3919
6454,3380,3071,3,71.85,,993,837,,659,565,,121,105,,5561,893,4902,3801,374,1892,3116,1881003,75.19,78.34,2182,1575
16984,8795,8184,5,70.28,20,2383,1933,,1417,1393,,208,210,,16643,341,12716,9834,897,5160,7859,1881004,72.67,74.92,4633,3449
21096,10792,10299,5,80.14,100,2598,2284,3,2614,2319,1,1114,1017,1,20629,467,16003,12707,1114,5949,11057,1881101,83.8,87.27,6939,5381
19617,9994,9623,,91.67,,1355,1132,,1973,2164,,4012,3633,,19250,367,16506,14003,2498,6019,13564,1881102,92.96,94.2,4259,4176
18438,9570,8858,10,65.35,60,2403,1894,3,1324,1294,3,535,465,,16305,2133,13716,10594,861,2570,8718,1881103,68.39,71.21,3594,2388
10727,5316,5410,1,93.41,,825,763,,1512,1571,,1572,1547,,10657,70,8664,7139,1000,3179,6809,1881104,94.86,96.4,2729,2612
7486,4095,3391,,90.01,,730,387,,798,763,,1475,1280,,7353,133,6424,5476,1036,2823,5301,1881105,90.89,91.61,2675,2682
17013,8840,8172,1,69.13,100,1924,1521,,1491,1277,1,791,729,,16606,407,12856,9812,809,1514,8239,1881106,73.04,76.66,3503,2784
17441,9123,8316,2,84.78,50,1597,1187,,1654,1623,,2720,2462,1,17213,228,14118,11523,1627,5873,10706,1881107,86.97,88.97,2444,2152
17908,9660,8247,1,89.26,100,1344,931,,2111,1927,,3824,3046,1,17617,291,15297,13075,2026,4943,12018,1881108,90.28,91.12,1928,1945
19252,9961,9290,1,78.15,100,2122,1827,1,2062,1822,,1480,1305,,18747,505,14424,11128,1046,5074,9626,1881109,81.57,84.79,2831,2210
3316,1731,1583,2,67.18,50,456,355,,247,258,,72,70,,3316,,2491,1895,215,1000,1498,1850101,68.69,70.08,1165,883
16852,8791,8061,,77.8,,2001,1594,,1704,1452,,1489,1331,,15983,869,13053,10478,1137,5082,9240,1850102,80.96,83.82,2272,1778
345,194,151,,14.74,,7,4,,5,2,,1,,,344,1,232,170,16,101,89,1850103,19.83,23.36,3775,2777
174538,90776,83739,23,69.72,39.13,19948,15667,4,17275,14755,1,9019,8185,2,172622,1916,130415,101255,9030,40131,83179,1850104,73.07,76.13,30799,24256
99868,52969,46883,16,72.28,37.5,10961,8492,1,11064,8719,1,6926,5767,3,97577,2291,76995,60835,5562,26264,52608,1850105,75.91,79.06,22413,18377
101763,53581,48109,73,79.06,34.25,9193,7179,11,11530,9986,9,13129,10992,1,98581,3182,81161,65344,7683,27895,59021,1850106,81.71,84.14,24370,21680
82214,42993,39193,28,77.45,53.57,6596,5119,1,8951,8027,7,10332,9138,4,81052,1162,65183,52393,5759,23818,47239,1850107,79.36,81.09,6479,5924
4558,2288,2270,,85.68,,371,324,,424,503,,762,659,,4453,105,3673,3051,426,799,2785,1850108,88.02,90.34,547,523
57493,30028,27455,10,69.88,30,6682,4970,1,4812,4367,1,3974,3494,,50479,7014,43938,34519,3581,17473,29801,1850109,73.24,76.28,8276,6937
3567,1841,1720,6,52.13,83.33,435,417,4,110,119,1,7,12,,3539,28,2500,1827,176,1046,1241,1850201,50.96,49.73,741,542
8267,4310,3957,,61.03,,1129,965,,388,447,,32,31,,8118,149,5995,4431,490,2484,3256,1850202,60.85,60.69,2400,1643
5047,2582,2465,,84.87,,782,712,,590,574,,182,168,,4975,72,3810,2960,298,1364,2459,1850301,86.4,87.89,2301,1852
6332,3111,3221,,82,,833,748,,858,852,,263,323,,6283,49,4903,3890,378,1778,3258,1850302,83.58,85.21,2200,1799
7949,4026,3916,7,85.99,28.57,1167,974,,1031,1031,,365,441,,7261,688,6245,4882,515,2117,4191,1850303,87.86,89.82,2941,2571
12940,6601,6339,,87.54,,1896,1628,,1622,1589,,607,637,,12875,65,9913,7781,793,2578,6533,1850304,89.26,90.92,4053,3285
18212,9332,8880,,78.33,,2641,2132,,2026,1986,,714,753,,18136,76,13747,10794,1028,4105,8866,1850305,81.13,83.83,5428,4210
7756,3889,3867,,86.52,,1002,861,,1037,1001,,500,505,,7716,40,6010,4718,484,2054,4200,1850306,89,91.45,4113,3515
18197,9392,8801,4,68.63,,2425,2018,,1783,1462,,478,468,,17428,769,13569,10430,954,2487,8467,1850401,72.19,75.52,6273,4680
3178,1630,1548,,90.31,,579,432,,352,358,,127,154,,3057,121,2428,1936,196,957,1746,1850402,92.05,93.71,3038,2595
10956,5523,5433,,92.33,,1648,1495,,1491,1337,,412,440,,10396,560,8451,6578,608,1971,5705,1850403,93.41,94.46,1942,1545
